Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
Little Tallahatchie River,34.50541,-88.99697,1/21/2014,65
Red Bud Creek,34.46663889,-88.28286111,2/28/2014,65
Tallabinnela Creek,34.06684,-88.68526,2/26/2014,65
BATUPAN BOGUE,33.73905556,-89.77480556,1/25/2014,65
Potacocowa Creek,33.66950461,-90.07195104,9/9/2015,73
Tesheva Creek,33.00596058,-90.32206834,9/2/2015,73
Piney Creek,32.90747401,-90.38246691,9/23/2015,73
TEOC CREEK,33.60425,-90.1049,9/22/2015,73
BIG SAND CREEK,33.557556,-90.157222,9/22/2015,73
EAST LEVEE CREEK,34.0324,-90.1202,9/10/2015,73
TILLATOBA CREEK,34.001858,-90.127172,9/9/2015,73
Bo Bo Bayou,34.3111,-90.168196,8/27/2015,73
McIvor Drainag,34.37055556,-90.03047222,8/28/2015,73
Sherman Creek,34.104049,-90.078565,8/18/2015,73
UT Yalobusha,33.006111,-90.32224,8/20/2015,73
Pelucia Creek,33.466093,-90.132436,9/22/2015,73
Catfish Bayou,33.430299,-90.111428,9/23/2015,73
N Fk Tillatoba Creek,34.008808,-90.068819,9/2/2015,73
Asclamore Creek,33.918056,-90.069444,9/9/2015,73
Cane Creek,33.75420111,-89.99650194,9/9/2015,73
JOHNSON CREEK,34.91524,-90.13489,8/27/2015,73
WHITES CREEK,34.84277778,-90.18452778,8/27/2015,74
ARKABUTLA CREEK,34.6096,-90.20633,8/19/2015,73
STRAYHORN CREEK,34.60419444,-90.20702778,8/19/2015,73
FANNEGUSHA CREEK,33.137856,-90.19789,9/23/2015,73
Tillatoba Creek,34.00180611,-90.12733306,9/10/2015,73
Asclamore Creek,33.83894389,-90.13288889,9/10/2015,73
SHELTON CREEK,34.15158333,-90.07397222,8/18/2015,73
Abiaca Creek,33.34,-90.151389,9/23/2015,73
LaSalle Bayou,30.4596111,-89.34538889,3/5/2014,65
UNT ROTTEN BAYOU,30.421282,-89.33789,3/17/2011,65
Bayou Laterre,30.44802446,-89.40436455,3/5/2014,65
Bayou La Terre,30.495917,-89.380694,3/5/2014,65
Big Brown Creek,34.62525,-88.44505556,2/13/2013,65
Big Cypress Creek,32.88002778,-90.05822222,1/8/2013,74
Casey Creek,34.480015,-88.49848,2/13/2013,65
Casey Creek,34.49785,-88.502667,2/13/2013,65
Donivan Creek,34.52172222,-88.54722222,2/13/2013,65
Eutaeutachee Creek,32.30774,-89.8402,1/8/2013,65
Little Brown Creek,34.62466667,-88.36391667,2/13/2013,65
Medlock Branch,34.75404,-88.99071,2/12/2013,65
Mill Creek,30.409443,-89.344011,3/5/2014,75
Muddy Creek,34.89297222,-88.89827778,2/14/2013,65
North Tippah Creek,34.77309,-89.00271,2/12/2013,65
Palmer Creek,30.59583333,-89.06994444,1/23/2013,65
Pellaphalia Creek,32.70545,-89.72139,3/5/2013,65
Riverdale Creek,33.80158,-89.81122,3/6/2013,74
Rotten Bayou,30.42101,-89.34423,1/24/2013,65
South Tippah Creek,34.70914,-89.03217,2/12/2013,65
West Creek,30.64241667,-89.10869444,1/23/2013,65
Wolf Creek,34.64069444,-88.65013889,2/13/2013,65
Ashlog Creek,32.27194444,-89.76036111,2/28/2012,65
Brush Creek,32.34736,-89.92557,2/8/2012,65
Line Creek,32.30033333,-89.70702778,1/25/2012,65
Little Cane Creek,34.96514,-88.6091,2/2/2012,65
Muddy Creek,34.84757,-88.92343,2/3/2012,65
Mulberry Creek,32.33253,-89.73708,2/8/2012,65
UT to North Prong Muddy Creek,34.8479,-88.9654,2/3/2012,65
Pelahatchie Creek,32.31139,-89.74946,2/28/2012,65
Pierce Creek,32.31787,-89.78132,1/25/2012,65
Riley Creek,32.39717,-89.88577,2/23/2012,65
Tarebreeches Creek,34.927194,-88.666111,2/2/2012,65
UT to North Prong Muddy Trib 1,34.85692,-88.96558,2/3/2012,65
Rotten Bayou Trib 1,30.384389,-89.381108,1/19/2012,65
Big Sunflower River,34.04121,-90.62635,8/29/2012,73
Big Sunflower River,33.94969,-90.62904,9/5/2012,73
Clear Creek,33.62813,-90.95459,9/6/2012,73
Coldwater River,34.69731,-90.2299,9/5/2012,73
Dougherty Bayou,33.72424,-90.58012,8/29/2012,73
Dowling Bayou,32.94371,-90.7278,8/21/2012,73
Edward Bayou,34.01155,-90.79787,8/28/2012,73
Grancius Bayou,33.15975,-90.9481,8/28/2012,73
Hushpuckena River,33.97263,-90.67267,8/29/2012,73
Hushpuckena River,34.01035,-90.79575,8/29/2012,73
Hushpuckena River,34.09044,-90.74854,8/28/2012,73
Muddy Bayou,34.02953,-90.22508,8/28/2012,73
Otter Bayou,32.99815,-90.92706,8/21/2012,73
Rolling Fork Creek,32.88697,-90.83549,8/22/2012,73
Snake Creek,33.89766,-90.84406,8/29/2012,73
Staten Brake,33.90366,-90.37969,8/28/2012,73
Trib to Steele Bayou,32.59936,-90.96478,8/22/2012,73
White Oak Bayou,34.64459,-90.33543,9/5/2012,73
Beaver Dam Bayou,33.47886,-90.61889,9/11/2013,73
Big Sunflower River,33.54902,-90.54296,9/11/2013,73
Bogue Phalia,33.44744,-90.85888,9/19/2013,73
Dugan Bayou,33.72339,-90.44503,9/10/2013,73
Jones Bayou,33.66549,-90.61847,9/12/2013,73
Porter Bayou trib no. 1,33.57102,-90.74758,9/12/2013,73
Vaney Creek,33.81343,-90.13103,9/10/2013,73
Wild Bill Bayou,33.79631,-90.4805,9/10/2013,73
