Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
East Fork Amite River,31.02986111,-90.7885,3/19/2001,74
Tangipahoa River,31.015,-90.46469444,1/8/2001,65
Bull Mnt Creek,34.24758333,-88.2695,3/7/2001,65
Sucarnoochee River,32.69995,-88.4868,2/9/2001,65
Betsy Creek,33.36227778,-89.69536111,2/3/2001,65
Bates Creek,31.51002845,-91.16903742,1/9/2001,74
Minnehaha Creek,31.14336111,-90.46416667,1/5/2001,65
Tangipahoa River,31.14358333,-90.51725,1/12/2001,65
Bala Chitto Creek,31.00444444,-90.44883333,1/8/2001,65
Terry's Creek,31.017,-90.52688889,2/11/2001,65
Scooba Creek,32.799183,-88.459283,2/9/2001,65
Mud Creek,34.26161111,-88.68497222,1/16/2001,65
Cowpenna Creek,34.08991667,-88.60994444,2/18/2001,65
Town Creek,34.14425,-89.63916667,2/8/2001,65
Organ Creek,33.90063333,-89.77823333,1/24/2001,65
Wolf Creek,33.43691667,-89.51105556,2/22/2001,65
Jourdan Creek,33.16777778,-89.80159167,2/4/2001,74
Clear Creek,32.3652166,-90.72826666,1/14/2001,74
Bogue Chitto Creek,32.431664,-90.333909,3/12/2001,74
Lower Little Creek,31.1325,-89.77566667,2/20/2001,65
Grays Creek,34.97058333,-89.27494444,1/17/2001,74
Cypress Creek,34.47577778,-89.26297222,1/13/2001,65
Mud Creek,34.35863889,-89.12825,1/16/2001,65
Potacocowa Creek,33.65408333,-89.95675,3/7/2001,74
Sabougla Creek Canal,33.73788333,-89.47243333,1/27/2001,65
Bear Creek,32.43141667,-90.63380556,1/13/2001,74
East Hobolochitto Creek,30.66044444,-89.55666667,1/13/2001,65
Tuxachanie Creek,30.54536111,-88.95344444,1/13/2001,65
Standing Pine Creek,32.69694444,-89.43908333,1/25/2001,65
Foster Creek,31.8730833,-90.625333,1/30/2002,74
Silver Creek,31.02425,-90.291111,1/23/2002,65
Cascade Creek,31.741222,-90.10752778,1/22/2002,65
Upper Hatchie River,34.970667,-88.7945,2/28/2002,65
Nonconnah,34.98797222,-89.68741667,2/2/2002,74
Mantachie Creek,34.229,-88.45505556,2/1/2002,65
Hurricane Creek,34.87305556,-90.00005556,1/21/2002,74
Topashaw Creek Canal,33.80461111,-89.31344444,1/31/2002,65
James Creek,33.2889,-88.445366,1/29/2002,65
Biloxi River,30.57013703,-89.13836482,1/27/2002,65
